,Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,total_matches,total_runs,centuries,half_centuries,total_fours,total_sixes,total_dotballs,total_balls_faced,total_ducks,best_score,total_outs,total_overs_bowled,total_wickets,total_runs_given,highest_runs_given,total_orangecaps,total_purplecaps,total_player_of_series,batting_average,strike_rate
269,270,S Aravind,8-Apr-84,Left_Hand,Left-arm medium-fast,India,28,27,0,0,5,0,7,19,25,14,0,97,40,739,48,0,0,0,0.0,142.10526315789474
270,271,MS Wade,26-Dec-87,Left_Hand,Right-arm medium,Australia,3,22,0,0,0,0,15,33,0,11,3,0,0,0,0,0,0,0,7.333333333333333,66.66666666666667
271,272,TD Paine,8-Dec-84,Right_Hand,Right-arm medium,Australia,2,10,0,0,0,0,19,29,0,8,2,0,0,0,0,0,0,0,5.0,34.48275862068966
272,273,SB Wagh,9-Oct-88,Left_Hand,Left-arm medium-fast,India,8,2,0,0,0,0,2,3,7,2,2,17,5,131,36,0,0,0,1.0,66.66666666666667
273,274,AC Thomas,9-Feb-77,Right_Hand,Right-arm fast-medium,England,15,20,0,0,1,1,8,19,12,12,0,53,11,394,50,0,0,0,0.0,105.26315789473684
274,275,JEC Franklin,7-Nov-80,Left_Hand,Left-arm medium,New Zealand,20,321,0,1,25,8,124,308,4,79,2,26,4,216,35,0,0,0,160.5,104.22077922077922
275,276,Shakib Al Hasan,24-Mar-87,Left_Hand,Slow left-arm orthodox,Bangladesh,42,499,0,2,44,15,140,400,13,66,18,152,31,1041,46,0,0,0,27.72222222222222,124.75
276,277,DH Yagnik,22-Jun-83,Left_Hand,,India,25,170,0,0,23,2,62,142,9,34,5,0,0,0,0,0,0,0,34.0,119.71830985915493
277,278,S Randiv,30-Jan-85,Right_Hand,Right-arm offbreak,Sri Lanka,8,2,0,0,0,0,3,4,7,2,1,29,6,217,33,0,0,0,2.0,50.0
278,279,BJ Haddin,23-Oct-77,Right_Hand,,Australia,1,18,0,0,2,1,5,11,0,18,1,0,0,0,0,0,0,0,18.0,163.63636363636363
279,280,NLTC Perera,3-Apr-89,Left_Hand,Right-arm medium-fast,Sri Lanka,37,423,0,0,23,26,129,325,8,40,16,119,23,998,54,0,0,0,26.4375,130.15384615384616
280,281,NL McCullum,1-Sep-80,Right_Hand,Right-arm offbreak,New Zealand,2,26,0,0,0,1,8,23,0,15,1,5,0,34,22,0,0,0,26.0,113.04347826086956
281,282,JE Taylor,22-Jun-84,Right_Hand,Right-arm fast,New Zealand,5,3,0,0,0,0,2,4,3,2,1,20,6,152,43,0,0,0,3.0,75.0
282,283,J Syed Mohammad,3-Jun-83,Left_Hand,Slow left-arm orthodox,India,11,29,0,0,4,0,11,27,6,13,1,32,6,279,43,0,0,0,29.0,107.4074074074074
283,284,RN ten Doeschate,30-Jun-80,Right_Hand,Right-arm medium-fast,Netherlands,29,326,0,1,26,15,80,238,11,70,12,13,1,88,20,0,0,0,27.166666666666668,136.9747899159664
284,285,TR Birt,9-Dec-81,Left_Hand,Right-arm medium,Australia,5,75,0,0,9,2,27,59,0,27,5,0,0,0,0,0,0,0,15.0,127.11864406779661
285,286,AG Murtaza,1-Jan-90,Left_Hand,Slow left-arm orthodox,India,12,10,0,0,1,0,7,14,9,5,1,44,9,304,46,0,0,0,10.0,71.42857142857143
286,287,Harpreet Singh,11-Aug-91,Left_Hand,Right-arm medium,India,4,20,0,0,0,0,8,26,1,13,1,0,0,0,0,0,0,0,20.0,76.92307692307692
287,288,M Klinger,4-Jul-80,Right_Hand,,Australia,4,73,0,0,9,0,36,78,0,29,4,0,0,0,0,0,0,0,18.25,93.58974358974359
288,289,AC Blizzard,27-Jun-84,Left_Hand,Left-arm medium,Australia,7,120,0,1,21,2,48,91,1,51,6,0,0,0,0,0,0,0,20.0,131.86813186813185
289,290,I Malhotra,23-May-84,Right_Hand,Right-arm medium-fast,India,1,7,0,0,1,0,0,4,0,7,0,1,0,23,23,0,0,0,0.0,175.0
290,291,L Ablish,3-Dec-82,Right_Hand,Right-arm medium-fast,India,3,0,0,0,0,0,2,2,3,0,0,7,3,72,39,0,0,0,0.0,0.0
291,292,CA Ingram,3-Jul-85,Left_Hand,Legbreak,South Africa,3,21,0,0,2,0,12,26,0,13,2,0,0,0,0,0,0,0,10.5,80.76923076923077
292,293,S Nadeem,12-Aug-89,Right_Hand,Slow left-arm orthodox,India,48,24,0,0,1,0,44,62,39,6,6,169,17,1179,42,0,0,0,4.0,38.70967741935484
293,294,P Parameswaran,30-May-85,Right_Hand,Left-arm medium,India,8,1,0,0,0,0,2,3,7,1,0,27,4,219,44,0,0,0,0.0,33.333333333333336
294,295,CJ Ferguson,21-Nov-84,Right_Hand,Right-arm medium,Australia,9,98,0,0,9,0,58,119,1,23,2,0,0,0,0,0,0,0,49.0,82.3529411764706
295,296,VR Aaron,29-Oct-89,Right_Hand,Right-arm fast,India,36,42,0,0,2,2,22,45,31,17,1,123,23,997,60,0,0,0,42.0,93.33333333333333
296,297,AA Chavan,28-Oct-85,Left_Hand,Slow left-arm orthodox,India,13,12,0,0,2,0,5,11,10,7,1,42,1,318,41,0,0,0,12.0,109.0909090909091
